sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1720440059290,8
1720440062580,8
1720440064149,8
1720440066372,8
1720440067946,8
1720440070398,8
1720440072022,8
1720440074154,2
1720440075523,2
1720440077877,2
1720440080202,2
1720440081679,2
1720440083863,2
1720440085531,2
1720440087922,5
1720440090505,5
1720440092504,5
1720440093880,5
1720440095984,5
1720440098166,5
1720440099815,5
1720440101915,5
1720440103552,5
1720440106089,5
1720440108657,5
1720440110171,5
1720440112442,5
1720440113796,5
1720440115874,5
1720440117576,5
1720440119878,5
1720440122074,5
1720440124361,5
1720440126250,5
1720440128387,5
1720440129992,5
1720440131766,5
1720440133423,5
1720440135905,5
1720440138144,5
1720440139852,5
1720440141847,5
1720440146139,5
1720440148328,5
1720440149659,5
1720440151771,5
1720440153872,5
1720440155452,5
1720440157578,5
1720440159773,5
1720440162486,5
1720440164941,5
1720440166459,5
1720440168628,5
1720440169981,5
1720440172052,5
1720440173810,5
1720440175714,5
1720440177868,5
1720440179534,5
1720440182029,5
1720440184322,5
1720440185939,5
1720440187910,5
1720440189669,5
1720440191916,5
1720440194070,5
1720440195667,5
1720440197777,5
1720440200197,5
1720440201892,5
1720440204215,5
1720440205604,5
1720440207597,5
1720440210056,5
1720440211965,5
1720440213985,5
1720440216257,5
1720440218794,5
1720440221238,5
1720440223086,8
1720440224872,8
1720440226176,8
1720440228054,5
1720440229950,5
1720440232113,5
1720440233789,5
1720440235858,5
1720440238229,5
1720440240250,5
1720440242531,5
1720440243830,5
1720440245899,5
1720440247650,5
1720440250118,5
1720440252404,5
1720440254182,5
1720440256414,5
1720440258567,4
1720440260206,4
1720440261698,4
1720440263561,4
1720440266059,4
1720440267801,4
1720440269890,4
1720440272008,8
1720440273596,8
1720440276449,8
1720440278730,8
1720440280277,8
1720440282087,8
1720440283780,8
1720440285879,6
1720440287641,6
1720440289759,6
1720440291996,6
1720440293966,6
1720440296436,6
1720440299837,6
1720440301672,6
1720440303581,6
1720440306010,8
1720440308326,8
1720440309873,3
1720440312379,3
1720440313921,3
1720440316425,3
1720440317916,3
1720440319907,3
1720440321536,3
1720440323608,3
1720440326035,3
1720440327868,3
1720440329907,3
1720440332417,5
1720440333974,5
1720440336274,5
1720440337759,5
1720440339692,5
1720440341482,5
1720440344600,5
1720440346221,5
1720440348392,5
1720440350448,5
1720440352541,8
1720440354171,8
1720440355973,8
1720440357685,8
1720440359938,5
1720440361777,5
1720440363731,5
1720440366103,5
1720440368040,5
1720440370459,5
1720440373855,5
1720440375655,5
1720440377474,5
1720440380058,5
1720440382341,2
1720440384019,2
1720440386090,2
1720440388087,2
1720440390237,2
1720440391865,2
1720440393931,2
1720440396257,2
1720440397909,2
1720440400005,2
1720440401625,2
1720440403938,8
1720440406596,8
1720440408145,6
1720440410203,6
1720440411632,6
1720440414219,6
1720440416376,6
1720440418226,8
1720440420039,1
1720440421875,1
1720440424054,1
1720440426458,1
1720440428130,1
1720440429951,1
1720440431783,1
1720440433656,1
1720440436110,1
1720440437725,5
1720440439903,5
1720440441647,5
1720440443993,5
1720440446320,5
1720440448060,5
1720440450071,5
1720440451943,8
1720440453986,8
1720440455718,8
1720440457781,8
1720440459935,5
1720440461985,5
1720440464211,5
1720440466438,5
1720440467732,5
1720440471741,3
1720440473851,3
1720440475800,3
1720440477949,3
1720440480405,3
1720440484116,3
1720440485515,3
1720440487980,3
1720440490180,3
1720440492419,8
1720440493973,8
1720440496126,6
1720440497725,6
1720440500098,6
1720440501728,6
1720440504268,6
1720440506249,6
1720440507809,4
1720440510041,4
1720440511384,4
1720440513619,4
1720440515983,4
1720440518539,4
1720440520053,4
1720440522278,4
1720440523522,4
1720440526111,4
1720440528393,4
1720440530034,5
1720440532100,5
1720440533738,5
1720440536169,5
1720440538347,5
1720440540250,5
1720440542579,5
1720440543873,5
1720440545928,5
1720440547623,5
1720440549979,5
1720440552218,5
1720440554375,5
1720440556236,5
1720440558440,5
1720440560024,5
1720440561912,5
1720440563728,5
1720440565873,5
1720440567592,5
1720440569971,5
1720440572208,5
1720440576270,5
1720440578454,5
1720440579746,5
1720440581452,5
1720440584487,5
1720440586130,5
1720440588319,5
1720440589829,5
1720440592288,5
1720440593851,5
1720440596428,5
1720440598761,5
1720440600001,5
1720440602150,5
1720440603787,5
1720440605944,5
1720440607915,5
1720440609990,5
1720440612491,5
1720440614083,5
1720440617025,5
1720440618562,5
1720440619985,5
1720440621641,5
1720440623992,5
1720440626277,5
1720440627887,5
1720440630328,5
1720440632009,8
1720440634262,8
1720440635703,8
1720440637995,8
1720440640194,8
1720440641893,8
